year,avg_air_temp_adjusted,lakeid,ice_on,ice_off
1868,-2.2300000000000018,Lake Mendota,1868-12-10,1869-04-16
1868,-2.2300000000000018,Lake Monona,1868-12-10,1869-04-15
1869,-2.3132596685082896,Lake Mendota,1869-12-02,1870-04-12
1869,-2.3132596685082896,Lake Monona,1869-11-24,1870-04-11
1870,-0.37458563535911416,Lake Mendota,1870-12-24,1871-04-02
1870,-0.37458563535911416,Lake Monona,1870-12-22,1871-04-01
1871,-4.114835164835164,Lake Mendota,1871-12-19,1872-04-23
1871,-4.114835164835164,Lake Monona,1871-11-30,1872-04-20
1872,-5.276243093922651,Lake Mendota,1872-11-30,1873-04-23
1872,-5.276243093922651,Lake Monona,1872-11-28,1873-04-18
1873,-3.044198895027624,Lake Mendota,1873-11-29,1874-04-14
1873,-3.044198895027624,Lake Monona,1873-11-29,1874-04-14
1874,-5.741988950276243,Lake Mendota,1874-12-10,1875-04-15
1874,-5.741988950276243,Lake Monona,1874-12-12,1875-04-14
1875,-0.9115384615384609,Lake Mendota,1876-01-10,1876-04-10
1875,-0.9115384615384609,Lake Monona,1876-01-10,1876-04-10
1876,-3.366850828729281,Lake Mendota,1876-12-08,1877-04-17
1876,-3.366850828729281,Lake Monona,1876-12-05,1877-04-16
1877,3.1977900552486194,Lake Mendota,1878-01-06,1878-03-09
1877,3.1977900552486194,Lake Monona,1878-01-06,1878-03-09
1878,-0.36629834254143484,Lake Mendota,1878-12-21,1879-04-12
1878,-0.36629834254143484,Lake Monona,1878-12-16,1879-04-10
1879,0.7406593406593396,Lake Mendota,1879-12-17,1880-03-25
1879,0.7406593406593396,Lake Monona,1879-12-16,1880-03-18
1880,-4.501104972375692,Lake Mendota,1880-11-23,1881-05-03
1880,-4.501104972375692,Lake Monona,1880-11-22,1881-05-01
1881,1.270718232044199,Lake Mendota,1882-01-02,1882-03-21
1881,1.270718232044199,Lake Monona,1882-01-01,1882-03-19
1882,-2.928729281767955,Lake Mendota,1882-12-10,1883-04-13
1882,-2.928729281767955,Lake Monona,1882-12-07,1883-04-13
1883,-4.179120879120877,Lake Mendota,1883-12-18,1884-04-15
1883,-4.179120879120877,Lake Monona,1883-12-17,1884-04-15
1884,-6.309944751381216,Lake Mendota,1884-12-17,1885-04-20
1884,-6.309944751381216,Lake Monona,1884-12-17,1885-04-17
1885,-2.9740331491712717,Lake Mendota,1885-12-12,1886-04-19
1885,-2.9740331491712717,Lake Monona,1885-12-07,1886-04-17
1886,-4.986740331491714,Lake Mendota,1886-12-05,1887-04-15
1886,-4.986740331491714,Lake Monona,1886-12-05,1887-04-15
1887,-4.989560439560439,Lake Mendota,1887-12-24,1888-04-15
1887,-4.989560439560439,Lake Monona,1887-11-28,1888-04-13
1888,-1.082320441988949,Lake Mendota,1889-01-02,1889-03-31
1888,-1.082320441988949,Lake Monona,1888-12-29,1889-03-26
1889,-0.7193370165745855,Lake Mendota,1890-01-14,1890-03-30
1889,-0.7193370165745855,Lake Monona,1890-01-14,1890-03-29
1890,-1.2348066298342535,Lake Mendota,1890-12-26,1891-04-16
1890,-1.2348066298342535,Lake Monona,1890-12-24,1891-04-16
1891,-2.6142857142857148,Lake Mendota,1891-12-27,1892-04-02
1891,-2.6142857142857148,Lake Monona,1891-12-27,1892-04-01
1892,-5.341988950276244,Lake Mendota,1892-12-16,1893-04-07
1892,-5.341988950276244,Lake Monona,1892-12-11,1893-04-07
1893,-1.8845303867403307,Lake Mendota,1893-12-04,1894-03-15
