region,host_plant,patry,sex,body_length_mm,ovipositor_length_mm,wing_length_mm,wing_width_mm,melanized_percent,baltic
estonia,heterophyllum,sympatry,male,3.94,NA,4.455026455,1.873015873,55.96311683,east
estonia,heterophyllum,sympatry,female,4.48,1.65,4.71,2.17,63.89701299,east
estonia,heterophyllum,sympatry,male,4.61,NA,4.990196078,2.294117647,62.52198861,east
estonia,heterophyllum,sympatry,female,5.31,1.78,5.611650485,2.582524272,61.37781416,east
estonia,heterophyllum,sympatry,male,4.51,NA,4.46875,2.09375,62.25656614,east
estonia,heterophyllum,sympatry,male,4.74,NA,4.90625,2.333333333,57.464057939999996,east
estonia,heterophyllum,sympatry,male,4.66,NA,4.712871287,2.267326733,68.64232509,east
estonia,heterophyllum,sympatry,male,4.72,NA,4.882352941,2.245098039,64.82317205,east
estonia,heterophyllum,sympatry,female,5.03,1.87,5.352941176,2.529411765,61.3078971,east
estonia,heterophyllum,sympatry,male,4.52,NA,4.298969072,2.134020619,55.88327402,east
estonia,heterophyllum,sympatry,male,4.54,NA,4.715789474,2.136842105,57.05069771,east
estonia,heterophyllum,sympatry,female,4.77,1.94,5.208333333,2.395833333,54.83361311,east
estonia,heterophyllum,sympatry,male,4.61,NA,4.855721393,2.208955224,64.09353382,east
estonia,heterophyllum,sympatry,female,4.66,1.77,4.882352941,2.382352941,65.26555134,east
estonia,heterophyllum,sympatry,male,5.11,NA,5.404040404,2.464646465,61.72920781,east
estonia,heterophyllum,sympatry,female,4.67,NA,4.949494949,2.191919192,64.69884232,east
estonia,heterophyllum,sympatry,female,4.81,1.83,5.113300493,2.600985222,64.30092264,east
estonia,heterophyllum,sympatry,female,4.85,1.84,5,2.346534653,66.24842384,east
estonia,heterophyllum,sympatry,male,4.01,NA,4.45631068,2.067961165,66.54737688,east
estonia,heterophyllum,sympatry,female,5.08,1.95,5.494949495,2.535353535,62.95360319,east
estonia,heterophyllum,sympatry,male,5.1,NA,4.770833333,2.354166667,59.25241769,east
estonia,heterophyllum,sympatry,male,4.74,NA,5.063157895,2.210526316,57.53866863,east
estonia,heterophyllum,sympatry,female,4.97,1.87,5.484536082,2.463917526,52.25308672,east
estonia,heterophyllum,sympatry,male,4.49,NA,4.59,2.2,65.72822823,east
estonia,heterophyllum,sympatry,female,4.69,1.91,4.921568627,2.31372549,63.87576175,east
estonia,heterophyllum,sympatry,male,4.5,NA,4.676923077,2.287179487,53.33666188,east
estonia,heterophyllum,sympatry,female,4.85,1.9,5.208333333,2.322916667,56.04405659,east
estonia,heterophyllum,sympatry,male,4.3,NA,4.204081633,1.948979592,55.65422371,east
estonia,heterophyllum,sympatry,male,4.79,NA,5.141414141,2.303030303,60.80398771,east
estonia,heterophyllum,sympatry,male,4.53,NA,4.587064677,2.099502488,64.9828583,east
estonia,heterophyllum,sympatry,female,3.97,1.55,4.07,1.82,65.82842386,east
estonia,heterophyllum,sympatry,male,4.71,NA,4.881188119,2.267326733,67.04754154,east
estonia,heterophyllum,sympatry,female,4.36,1.75,4.82,2.2,61.58138034,east
estonia,heterophyllum,sympatry,male,4.27,NA,5.105527638,2.301507538,61.70846378,east
estonia,heterophyllum,sympatry,male,4.49,NA,4.845360825,2.175257732,59.24125369,east
estonia,heterophyllum,sympatry,female,4.57,1.7,4.804123711,2.18556701,52.79456386,east
estonia,heterophyllum,sympatry,male,4.13,NA,4.881188119,2.267326733,63.47666201,east
estonia,heterophyllum,sympatry,female,4.84,1.77,4.914572864,2.492462312,62.47289175,east
estonia,heterophyllum,sympatry,male,4.41,NA,4.571428571,2.226600985,64.02261656,east
estonia,heterophyllum,sympatry,female,4.26,1.59,4.752475248,2.207920792,60.3908976,east
finland,heterophyllum,allopatry,male,4.25,NA,4.875,2.197916667,53.37414245,east
finland,heterophyllum,allopatry,female,4.21,1.78,5.15625,2.28125,56.8675318,east
finland,heterophyllum,allopatry,male,4.4,NA,4.71875,2.21875,57.91899227,east
finland,heterophyllum,allopatry,female,4.66,1.9,5.06,2.44,65.37483735,east
finland,heterophyllum,allopatry,male,4.07,NA,4.585858586,2.121212121,73.9005711,east
finland,heterophyllum,allopatry,female,4.33,1.55,4.990196078,2.254901961,73.657173,east
finland,heterophyllum,allopatry,male,4.31,NA,4.740740741,1.989417989,54.78233849,east
finland,heterophyllum,allopatry,male,4.32,NA,4.84,2.3,66.00803676,east
finland,heterophyllum,allopatry,female,4.49,NA,5.353535354,2.393939394,64.27662408,east
finland,heterophyllum,allopatry,male,4.14,NA,4.726315789,1.947368421,68.19043287,east
finland,heterophyllum,allopatry,female,4.13,1.83,4.592592593,1.989417989,62.1054288,east
