id,diet_quality,temperature,year,development_time,pupal_mass_g,red_mean,green_mean,blue_mean,luminance_mean
33,high,18C,2022,58,4.72,65.96,74.14,54.27,74.83
34,high,18C,2022,48,5.31,64.9,76.52,54.92,77.09
35,high,18C,2022,86,5.89,74.03,88.36,60.07,87.42
36,high,18C,2022,59,NA,73.96,83,70.55,85.98
37,high,18C,2022,52,7.07,63.82,70.88,53.75,71.89
39,high,18C,2022,51,5.92,67.41,73.08,55.93,74.28
40,high,18C,2022,51,7.7,61.65,71.15,55.98,72.21
41,high,18C,2022,65,4.35,70.56,81.52,65.86,83.62
42,high,18C,2022,51,6.18,72.79,80.03,58.69,81.14
43,high,18C,2022,54,5.31,62.82,69.45,51.48,70.16
44,high,18C,2022,61,6.43,63.09,72.26,56.47,73.45
45,high,18C,2022,61,5.59,65.83,77.05,62.21,78.85
46,high,18C,2022,49,7.35,70.04,79.26,60.26,80.59
53,high,18C,2022,51,5.7,64.79,70.71,53.01,71.68
54,high,18C,2022,51,NA,63.7,68.2,50.54,68.99
55,high,18C,2022,62,8.79,NA,NA,NA,NA
57,high,18C,2022,60,4.17,62.92,81.18,70.15,83.85
62,low,18C,2022,65,5.1,69.56,79.72,66.14,82.17
66,low,18C,2022,64,5.96,NA,NA,NA,NA
67,low,18C,2022,60,6.44,68.48,76.57,61.07,78.37
68,low,18C,2022,64,6.62,NA,NA,NA,NA
69,low,18C,2022,64,6.78,68.15,75.71,57.75,76.89
71,low,18C,2022,60,3.75,71.48,82.5,67.35,84.65
76,low,18C,2022,66,5.92,NA,NA,NA,NA
78,low,18C,2022,61,6.97,67.29,77.43,61.66,79.19
79,low,18C,2022,62,3.79,72.84,85.52,64.92,87.01
84,low,18C,2022,60,5.1,67.44,72.72,54.18,73.7
85,low,18C,2022,64,6.02,65.08,78.41,64.08,80.22
87,low,18C,2022,61,6.98,72.78,86.13,69.41,88.53
88,low,18C,2022,53,5.99,67.12,74.46,52.43,74.91
211,high,27C,2022,21,5.55,86.06,96.2,70.93,97.6
212,high,27C,2022,NA,NA,68.8,75.44,57.81,76.77
214,high,27C,2022,22,3.28,NA,NA,NA,NA
215,high,27C,2022,20,2.36,NA,NA,NA,NA
216,high,27C,2022,22,3.88,NA,NA,NA,NA
217,high,27C,2022,24,1.71,68.25,73.68,52.38,74.28
218,high,27C,2022,20,2.57,NA,NA,NA,NA
219,high,27C,2022,24,4.17,72.63,79.56,53.58,79.9
223,high,27C,2022,21,5.31,NA,NA,NA,NA
226,high,27C,2022,20,3.62,78.73,85.09,61.25,86.35
228,high,27C,2022,31,NA,64.73,76.89,60.32,78.21
229,high,27C,2022,24,5.01,72.36,78.79,57.03,79.78
