species,population,plant_height_cm,corolla_area_mm2,spur_length_mm,first_flower_day,flowers,fruits,mean_fruit_mass_mg
conopsea,graborg_c,29,70.679,15.28,162,40,34,13.1979451
conopsea,graborg_c,25,102.1796,16.85,161,29,13,11.92047065
conopsea,graborg_c,30.4,113.8021,18.77,162,51,42,13.88644736
conopsea,graborg_c,33.3,107.9048,13.74,162,51,47,14.7905493
conopsea,graborg_c,31.9,126.4062,14.36,163,50,48,14.50428571
conopsea,graborg_c,32,125.664,13.19,163,57,54,16.05
conopsea,graborg_c,30.3,97.8822,14.85,162,23,23,20.622827149999999
conopsea,graborg_c,33,119.8351,14.71,161,36,33,23.097148390000001
conopsea,graborg_c,27.3,73.073,15.91,160,40,28,8.9865396279999992
conopsea,graborg_c,24.4,133.1559,13.2,163,29,25,13.25642976
conopsea,graborg_c,20,80.912,11.2,163,32,3,11.962027620000001
conopsea,graborg_c,22.8,93.744,5.79,163,37,0,NA
conopsea,graborg_c,22.6,93.66,12.5,162,35,4,10.784655920000001
conopsea,graborg_c,26.5,77.6776,12.4,163,25,24,13.162458839999999
conopsea,graborg_c,27.1,71.9173,12.56,161,62,43,14.859082799999999
conopsea,graborg_c,18,83.88,10.74,163,23,3,13.763593889999999
conopsea,graborg_c,15.6,54.7492,5.08,164,27,0,NA
conopsea,graborg_c,28.7,89.7532,16.22,163,31,26,10.033951099999999
conopsea,graborg_c,23,86.3203,11.72,163,30,24,10.01190233
conopsea,graborg_c,26.2,76.9307,12.3,163,37,34,14.119276109999999
conopsea,graborg_c,25.3,88.5504,15.95,163,24,23,17.750382269999999
conopsea,graborg_c,23.2,109.7757,16.69,164,22,18,9.6205946190000002
conopsea,graborg_c,28.5,105.4064,14.56,162,32,14,9.8862220769999993
conopsea,graborg_c,28.3,141.7625,15.94,163,30,29,21.313223300000001
conopsea,graborg_c,16.6,86.48,16.11,163,21,14,8.3266666669999996
conopsea,graborg_c,28.3,71.3564,11.98,162,19,18,18.353546000000001
conopsea,graborg_c,33.2,81.5388,14.02,161,51,44,17.65017568
conopsea,graborg_c,25.5,93.0884,14.43,161,16,11,16.346787119999998
conopsea,graborg_c,19,89.3316,13.31,163,21,11,8.1050041200000003
conopsea,graborg_c,26,84.214,14.31,162,36,31,11.37431819
conopsea,graborg_c,15.8,68.7323,14,161,22,20,7.9387676909999998
conopsea,graborg_c,24,100.4834,15.7,163,24,18,10.291933139999999
conopsea,graborg_c,17,85.078,12.51,164,18,14,9.0102774710000002
conopsea,graborg_c,19.2,91.8544,11.64,164,19,19,10.767937590000001
conopsea,graborg_c,28.5,118.2447,15.37,162,34,33,20.694309390000001
conopsea,graborg_c,25.7,93.1328,14.09,161,24,23,14.073206880000001
conopsea,graborg_c,32.5,110.8422,16.97,161,47,42,19.79248329
conopsea,graborg_c,22.1,88.5781,15.52,162,38,38,11.91512414
conopsea,graborg_c,20.5,116.1315,15.96,165,23,22,12.407241750000001
conopsea,graborg_c,28.6,112.0716,15.16,161,56,51,21.554294280000001
conopsea,graborg_c,24.5,101.1792,8.09,161,24,22,14.32576046
conopsea,graborg_c,22.7,139.0912,15.4,165,35,31,16.40640492
conopsea,graborg_c,26.4,112.3524,14.65,163,24,18,11.33259088
conopsea,graborg_c,22.5,113.685,15.13,163,27,20,12.29686734
conopsea,graborg_c,20.8,71.5338,15.89,162,31,25,8.1248704119999999
conopsea,graborg_c,14,86.658,13.54,163,20,17,9.3058387759999999
conopsea,graborg_c,24.2,106.5129,15.27,163,22,22,12.91295341
conopsea,graborg_c,21.5,105.2502,15.94,162,20,3,12.83388545
conopsea,graborg_c,25.1,88.578,13.23,162,32,29,13.85004371
conopsea,graborg_c,27.4,118.096,15.57,162,27,24,13.39560109
conopsea,graborg_c,22.1,77.774,13.4,161,22,13,13.4477583
conopsea,graborg_c,15,65.7888,12.28,160,16,8,6.8110421050000003
conopsea,graborg_c,14.3,57.3344,14.28,160,16,7,5.3389644150000004
conopsea,graborg_c,28.1,106.6525,15.63,161,37,29,16.54547006
conopsea,graborg_c,23.4,105.9248,14.41,162,36,31,12.761077289999999
conopsea,graborg_c,21.6,71.4714,14.54,163,25,22,10.54201845
conopsea,graborg_c,19.8,82.44,14.83,163,30,25,9.4439427780000003
conopsea,graborg_c,33.4,118.0638,16.93,164,30,24,14.44381267
conopsea,graborg_c,27.8,88.4004,17.48,160,34,25,14.02783451
conopsea,graborg_c,21.1,117.3978,10.67,163,34,26,13.76010993
conopsea,graborg_c,19.8,123.8435,13.79,164,22,19,14.66666667
conopsea,graborg_c,18.2,84.1784,13.82,161,20,18,14.624255099999999
conopsea,graborg_c,19.6,106.4148,14.27,161,25,20,10.864011059999999
conopsea,graborg_c,21,80.136,13.82,160,30,15,13.91190712
conopsea,graborg_c,20.3,75.7136,6.19,165,11,4,19.722265660000001
conopsea,graborg_c,21.7,113.3308,14.58,164,34,28,17.195847959999998
conopsea,graborg_c,27.3,99.9423,14.14,161,42,38,18.59059989
conopsea,graborg_c,25.5,94.7261,12.54,159,35,32,14.94286198
conopsea,graborg_c,31,116.622,15.22,160,40,37,26.08851568
conopsea,graborg_c,25.3,99.2136,12.69,161,34,31,16.85492696
conopsea,graborg_c,20.6,78.6558,11,161,27,26,16.75087954
conopsea,graborg_c,15.2,60.273,13.41,164,22,0,NA
conopsea,graborg_c,26.3,115.5024,10.79,161,24,24,15.880538939999999
conopsea,graborg_c,25.7,103.1067,15.09,160,35,31,11.79822025
conopsea,graborg_c,20.5,75.54,6.46,163,30,1,9.8170359890000007
conopsea,graborg_c,20.7,86.7664,14.1,161,27,23,12.66717676
conopsea,graborg_c,26.2,75.1032,12.81,160,31,29,13.14061577
conopsea,graborg_c,26.2,101.6928,14.94,162,33,30,13.075121749999999
conopsea,graborg_c,23.6,94.354,11.19,163,35,7,17.75022547
conopsea,graborg_c,16.2,60.0642,4.23,164,17,2,6.3604971890000002
conopsea,graborg_c,21.2,111.7209,5.26,162,27,7,13.92236447
conopsea,graborg_c,25.4,113.434,13.94,164,33,31,11.065114149999999
conopsea,graborg_c,20.7,79.933,13.06,163,28,28,12.50532334
conopsea,graborg_c,22.3,78.6149,13.58,163,33,33,16.209607380000001
conopsea,graborg_c,28.2,101.4189,13.19,162,37,31,16.961916030000001
conopsea,graborg_c,26.5,99.54,13.6,160,30,29,14.36150162
conopsea,graborg_c,21.5,79.35,10.01,161,15,8,6.9052353980000003
conopsea,graborg_c,24,97.86,12.24,164,21,19,9.4094720009999993
